28281;Aahan;Dawn / Morning;Male;Hindi;236
28282;Aala;She who hunts and heals;Female;American;2000
28283;Aaleahya;Sunshine;Female;Indian;17
28284;Aaleyah;The greatest gift of God.;Female;Arabic;172
28285;Aalijah;The lord is god. Variant of Elijah.;Female;Hebrew;64
28286;Aaliyah;Ascender;Female;Arabic;22000
28287;Aaliyah;Highly exalted.;Female;Hebrew;22000
28288;Aamori;;Female;African;33
28289;Aanjay;Unconquerable;Female;Indian;19
28290;Aaralyn;With song;Female;American;216
28291;Aaric;Variant of Aric meaning rule with mercy.;Male;English;395
28292;Aarika;"""Alternate Spelling: Erika, Erica, Ericka.""";Female;Unknown;768
28293;Aaron;high mountain;Male;Hebrew;555000
28294;Aaron;High mountain: Lofty or inspired. In the bible Moses' brother Aaron was Israel's first high priest and is remembered for his staff which blossomed miraculously. Popular in English speaking countries since the Protestant Reformation.;Male;Hebrew;555000
28295;Aarshiya;Heavenly;Female;Unknown;29
28296;Aart;like an eagle;Male;Anglo;4000
28297;Aart;Like an eagle;Male;Anglo-Saxon;4000
28298;Aarthi;Way of offering prayer to god;Female;Indian;3000
28299;Aarush;First ray of sun.;Male;India;1000
28300;Aarushi;First ray of the sun.;Female;Indian;2000
28301;Aase;tree-covered mountain AEGILEIF;Female;Norse;3000
28302;Aashish;Blessing.;Male;Hindu;10000
28303;Aashka;Blessing;Female;Indian;377
28304;Aasiya;"""derived from the arabic verb, to abound, and means abundant, flourishing, thriving, prosperous""";Female;Unknown;0
28305;Aaylah;Light bearer;Female;Unknown;17
28306;Abagail;Gives Joy.;Female;Hebrew;1000
28307;Abaigael;Gives joy;Female;Hebrew;23
28308;Abaigeal;Gives joy;Female;Hebrew;114
28309;Aballach;father of Modron;Male;Arthurian;5
28310;Aballach;Father of Modron;Male;Arthurian Legend;5
28311;Aban;old Arabic name, meaning unknown;Male;Arabic;7000
28312;Abantiades;descendant of Abas ABAS,ABASANTIS;Male;Latin;2
28313;Abarrane;Feminine form of Abraham father of many;Female;Hebrew;13
28314;Abarrane;feminine form of Abraham, &quot,father of many.&quot,Variant, Abame, exists.;Female;Hebrew;13
28315;Abarrane;Feminine form of Abraham, from Hebrew.&quot,Father of many.&quot,;Female;Basque;13
28316;Abarron;Father of a multitude;Male;Hebrew;56
28317;Abasi;stern;Male;Egyptian;3000
28318;Abasi;Swahili name meaning &quot,stern.&quot,;Male;African;3000
28319;Abayomi;brings joy;Male;Egyptian;0
28320;Abayomi;Of uncertain African origin.Means &quot,born to bring me joy.&quot,;Male;African;0
28321;Abba;Father;Male;Arabic;23000
28322;Abba;Ghanaian name for females born on Thursday.;Female;African;23000
28323;Abban;Abbot;Male;Irish;1000
28324;Abban;abbot ABRACHAM, BRAM;Male;Irish;1000
28325;Abbas;Lion;Male;Arabic;162000
28326;Abbey;My father rejoices. Biblical: the name of King David's third wife described as good in discretion and beautiful in form.;Female;Hebrew;100000
28327;Abbie;"""Gives joy, My father rejoices. Biblical: the name of King David's third wife described as good in discretion and beautiful in form.""";Female;Hebrew;46000
28328;Abbigale;;Female;Unknown;346
28329;Abboid;abbey father;Male;Gaelic;2
28330;Abbot;Abbey father;Male;English;8000
28331;Abbot;Father;Male;Hebrew;8000
28332;Abbotson;Son of Abbot;Male;Hebrew;49
28333;Abbott;Abbey father;Male;English;179000
28334;Abbott;Father;Male;Hebrew;179000
28335;Abbud;worshipper;Male;Arabic;975
28336;Abbudin;worshippers;Male;Arabic;15
28337;Abby;My father rejoices. Biblical: the name of King David's third wife described as good in discretion and beautiful in form.;Female;Hebrew;156000
28338;Abd Al Alim;Servant of the all knowing;Male;Arabic;19
28339;Abd Al Bari;Servant of Allah;Male;Arabic;11
28340;Abd Al Hakim;Servant of the wise;Male;Arabic;39
28341;Abd Al Jabbar;Servant of the mighty;Male;Arabic;0
28342;Abd Al Matin;Servant of the strong;Male;Arabic;0
28343;Abd Al Qadir;Servant of the capable;Male;Arabic;49
28344;Abd Al Rashid;Servant of the guided;Male;Arabic;4
28345;Abd Al Sami;Servant of the all hearing;Male;Arabic;1
28346;Abd Er Rahman;Servant of the merciful one;Male;Arabic;8
28347;Abda;servant;Male;Arabic;3000
28348;Abdalla;Swahili equivalent of Arabic, ABDULLAH, &quot,servant of God.&quot,;Male;African;26000
28349;Abdalrahman;Servant of the merciful one;Male;Arabic;3000
28350;Abdel;Servant;Male;Arabic;69000
28351;Abdelahi;Muslim name, popular in Somalia. Meaning unknown.;Male;African;52
28352;Abdera;from Abdera;Female;Greek;155
28353;Abderus;myth name (a friend of Hercules);Male;Greek;25
28354;Abdi;Muslim name, popular in Somalia, meaning &quot,my servant.&quot,;Male;African;68000
28355;Abdikarim;Muslim name, popular in Somalia, meaning &quot,slave of God.&quot,;Male;African;1000
28356;Abdimelech;Name of an Aethiopian eunuch who lived in ancient Rome.Name means &quot,servant to kings.&quot, Could be shortened to ABDI or MELECH.;Male;African;0
28357;Abdiraxman;Somali equivalent of Muslim, ABD AL RAHMAN, meaning &quot,servant of the Mercifully Gracious.&quot,;Male;African;146
28358;Abdul;Servant of God;Male;Arabic;504000
28359;Abdul- Matin;servant of the strong one;Male;Arabic;698
28360;Abdul- Qadir;servant of the capable and powerful one;Male;Arabic;3000
28361;Abdul- Rashid;servant of the guided one;Male;Arabic;3000
28362;Abdul- Sami;servant of the all-hearing;Male;Arabic;834
28363;Abdul, Abdel;servant of;Male;Arabic;17
28364;Abdul-Alim;servant of the omniscient;Male;Arabic;1000
28365;Abdul-Aliyy;servant of the most high;Male;Arabic;11
28366;Abdul-Azim;servant of the mighty;Male;Arabic;742
28367;Abdul-Aziz;servant of the powerful one;Male;Arabic;24000
28368;Abdul-Bari;servant of the Creator;Male;Arabic;1000
28369;Abdul-Basit;servant of the extender;Male;Arabic;5000
28370;Abdul-Fattah;servant of the opener of the gates of sustenance;Male;Arabic;1000
28371;Abdul-Ghaffar, Abdul-Ghaf;servant of the forgiver;Male;Arabic;0
28372;Abdul-Hadi;servant of the guide;Male;Arabic;6000
28373;Abdul-Hafiz;servant of the protector;Male;Arabic;0
28374;Abdul-Hakam;servant of the arbitrator;Male;Arabic;134
28375;Abdul-Hakim;servant of the wise one;Male;Arabic;3000
28376;Abdul-Halim;servant of the mild and patient one;Male;Arabic;6000
28377;Abdul-Hamid;servant of the praised one;Male;Arabic;0
28378;Abdul-Haqq;servant of the truth;Male;Arabic;276
28379;Abdul-Hasib;servant of the respected and esteemed one;Male;Arabic;186
28380;Abdul-Jabbar;servant of the mighty;Male;Arabic;4000
28381;Abdul-Jalil;servant of the great and revered one;Male;Arabic;2000
28382;Abdul-Karim;servant of the noble and generous one;Male;Arabic;6000
28383;Abdul-Khaliq;servant of the Creator;Male;Arabic;2000
28384;Abdulla;Servant of God.;Male;Arabic;65000
28385;Abdullah;Servant of God;Male;Arabic;669000
28386;Abdullah, Abdul;servant of God;Male;Arabic;474
28387;Abdul-Latif;servant of the kind one;Male;Arabic;13000
28388;Abdul-Majid;servant of the glorious one;Male;Arabic;4000
28389;Abdul-Malik;servant of the master or king;Male;Arabic;5000
28390;Abdul-Muhaimin;servant of the supervisor/guardian/protector;Male;Arabic;538
28391;Abdul-Mu'izz;servant of the giver of might and glory;Male;Arabic;37
28392;Abdul-Mujib;servant of the responder;Male;Arabic;0
28393;Abdul-Muta'al;servant of the most high;Male;Arabic;0
28394;Abdul-Nasir;servant of the helper/protector;Male;Arabic;1000
28395;Abdul-Nasser;servant of the victorious one;Male;Arabic;757
28396;Abdul-Qahhar;servant of the subduer/almighty;Male;Arabic;67
28397;Abdul-Quddus;servantof the most holy;Male;Arabic;617
28398;Abdul-Rafi;servant of the one who raises and elevates the intellect/esteem;Male;Arabic;210
28399;Abdul-Rahim;servant of the most compassionate one;Male;Arabic;8000
28400;Abdul-Rahman;servant of the merciful one;Male;Arabic;40000
28401;Abdul-Rahman, Abdalrahman;servant of the merciful one;Male;Arabic;2
28402;Abdul-Ra'uf;servant of the most merciful one;Male;Arabic;37
